"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11101","contact form submission with valid data for vinay@example.com","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1523","signup with valid credentials for alice@example.com","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","651","contact form submission with valid data for bob@example.com","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1761","contact form submission with valid data for alice@example.com","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","890","login with valid credentials for alice@example.com","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","652","contact form submission with SQL injection attempt shows error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","0","login with invalid credentials shows error","chromium","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","911","signup with valid credentials for alice@example.com","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","624","login with XSS attempt shows error","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","2105","login with valid credentials for user@example.com","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1038","test2","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1490","signup with valid credentials for bob@example.com","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","657","signup2 with invalid phone shows validation error","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","2090","login with valid credentials for alice@example.com","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1742","contact form submission with valid data for bob@example.com","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","910","contact form submission with empty message shows validation error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","2333","test1","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1285","signup with valid credentials for bob@example.com","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","969","signup with valid credentials for vinayksgowda123567@gmail.com","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1709","contact form submission with XSS attempt shows error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","910","signup1 with invalid email","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1117","contact form submission with valid data for jane@example.com","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1772","contact form submission with short subject shows validation error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","989","login with empty password shows validation errors","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1750","contact form submission with empty fields shows validation errors","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","595","login with empty password shows validation errors","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","882","contact form submission with valid data for bob@example.com","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1204","contact form submission with empty subject shows validation error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","689","signup with valid credentials for user@example.com","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1225","login with XSS attempt shows error","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1588","login with valid credentials for user@example.com","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1212","login with SQL injection attempt shows error","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","905","contact form submission with valid data for vinay@example.com","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","774","login with SQL injection attempt shows error","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","0","login with short password shows validation error","firefox","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","1831","contact form submission with SQL injection attempt shows error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1021","signup with valid credentials for user@example.com","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1472","signup1 with invalid email","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","975","login with valid credentials for vinayksgowda123567@gmail.com","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","0","login with invalid credentials shows error","firefox","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","864","login with SQL injection attempt shows error","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","839","login with invalid email format shows validation error","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","2073","login with valid credentials for test@example.com","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","735","contact form submission with valid data for jane@example.com","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","991","login with valid credentials for user@example.com","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1521","signup with valid credentials for vinayksgowda123567@gmail.com","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","690","contact form submission with short subject shows validation error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1215","login with invalid email format shows validation error","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","640","contact form submission with empty message shows validation error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1835","contact form submission with short message shows validation error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","938","contact form submission with XSS attempt shows error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","0","login with short password shows validation error","webkit","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","762","signup with valid credentials for vinayksgowda123567@gmail.com","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","908","login with valid credentials for bob@example.com","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1291","login with empty password shows validation errors","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","756","contact form submission with short message shows validation error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1119","contact form submission with valid data for john@example.com","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","936","contact form submission with short subject shows validation error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","363","get started link","chromium","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","840","test1","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","658","signup3 with invalid username shows validation error","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","928","contact form submission with SQL injection attempt shows error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","788","signup with valid credentials for bob@example.com","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","728","login with empty email shows validation errors","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","708","contact form submission with empty subject shows validation error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","706","signup with valid credentials for alice@example.com","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1521","signup2 with invalid phone shows validation error","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","0","login with short password shows validation error","chromium","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","670","contact form submission with valid data for alice@example.com","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1341","test1","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1758","contact form submission with invalid email shows validation error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","0","login with invalid credentials shows error","webkit","2026-03-24","skipped","2026-03-24","","login.spec.js","",""
"","866","contact form submission with valid data for john@example.com","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","653","login with invalid email format shows validation error","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1289","login with valid credentials for bob@example.com","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","2152","contact form submission with valid data for jane@example.com","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1056","get started link","webkit","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","1003","test2","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","955","login with valid credentials for test@example.com","chromium","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","239","has title","chromium","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","1509","signup with valid credentials for test@example.com","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","956","signup with valid credentials for test@example.com","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","2157","contact form submission with valid data for vinay@example.com","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","967","contact form submission with short message shows validation error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
